model_name,split,horizon,brier_score,log_loss,roc_auc,n_obs,positive_rate
climatology,train,24,0.2467324959373625,0.6865978620425748,0.5,23031,0.442837914115757
climatology,val,24,0.2507764957328197,0.6947213773287712,0.5,1744,0.4782110091743119
climatology,test,24,0.2496714832882517,0.6925016478681096,0.5,3513,0.46854540278963847
climatology,train,72,0.24998747754075806,0.6931221354323743,0.5,23031,0.5035387086969736
climatology,val,72,0.24976497517654095,0.6926771232736455,0.5,1744,0.5349770642201835
climatology,test,72,0.2497979636911079,0.6927431014044053,0.5,3513,0.5303159692570453
simplified_rj,train,24,0.3162141626702707,0.8632771433334417,0.5815854275479064,23031,0.442837914115757
simplified_rj,val,24,0.3065205962257444,0.8480898470597608,0.5753208422273169,1744,0.4782110091743119
simplified_rj,test,24,0.30327846370069156,0.8291023946619129,0.5676037931952354,3513,0.46854540278963847
simplified_rj,train,72,0.34503297400894006,0.977638484162272,0.5770998035008994,23031,0.5035387086969736
simplified_rj,val,72,0.3290833939001768,0.9478420098420479,0.5739265696882232,1744,0.5349770642201835
simplified_rj,test,72,0.326327439692258,0.9252014442865265,0.5652362595357765,3513,0.5303159692570453
