model_name,split,horizon,calibrated,brier_score,log_loss,roc_auc,n_obs,positive_rate
ftt_v1,train,24,True,0.16060710325002878,0.48839913647221506,0.8410160942505976,23031,0.442837914115757
ftt_v1,val,24,True,0.17651364162912866,0.526707733985586,0.8134358447308087,1744,0.4782110091743119
ftt_v1,test,24,True,0.17978708305175234,0.535481881378442,0.8064574912091509,3513,0.46854540278963847
ftt_v1,train,72,True,0.16033918560199087,0.4902581006589375,0.8520098680470055,23031,0.5035387086969736
ftt_v1,val,72,True,0.1955943214820315,0.5739150285058578,0.7728632165177891,1744,0.5349770642201835
ftt_v1,test,72,True,0.204575054086306,0.5955523747678348,0.7535699995120284,3513,0.5303159692570453
ftt_v1_uncalibrated,train,24,False,0.16028609031394805,0.48661086055569674,0.8410160904301165,23031,0.442837914115757
ftt_v1_uncalibrated,val,24,False,0.1771167979556182,0.5283897553108846,0.8134358447308087,1744,0.4782110091743119
ftt_v1_uncalibrated,test,24,False,0.1811697448303024,0.5400706081124698,0.8064574912091509,3513,0.46854540278963847
ftt_v1_uncalibrated,train,72,False,0.15598362481263825,0.47241044161846474,0.8520098755884782,23031,0.5035387086969736
ftt_v1_uncalibrated,val,72,False,0.20061941917347506,0.593924648510846,0.7728632165177891,1744,0.5349770642201835
ftt_v1_uncalibrated,test,72,False,0.21173638826937805,0.623007589527028,0.7535699995120285,3513,0.5303159692570453
