model_name,split,horizon,calibrated,brier_score,log_loss,roc_auc,n_obs,positive_rate
mlp_best_v1,train,24,True,0.14995616279573534,0.4599920431259353,0.865668195888111,23031,0.442837914115757
mlp_best_v1_uncalibrated,train,24,False,0.1497100074603512,0.45908981656585557,0.8656682035290731,23031,0.442837914115757
mlp_best_v1,val,24,True,0.17163506556652758,0.5137599545067238,0.8235367749756239,1744,0.4782110091743119
mlp_best_v1_uncalibrated,val,24,False,0.17167133315177996,0.513833831439545,0.8235367749756239,1744,0.4782110091743119
mlp_best_v1,test,24,True,0.17874238949100013,0.531403351178408,0.8069172901992202,3513,0.46854540278963847
mlp_best_v1_uncalibrated,test,24,False,0.17891237956840375,0.5320119182663653,0.8069172901992202,3513,0.46854540278963847
mlp_best_v1,train,72,True,0.15962807208286248,0.48447147988714534,0.8486543539356961,23031,0.5035387086969736
mlp_best_v1_uncalibrated,train,72,False,0.1587678711804539,0.4813410349574336,0.8486543539356961,23031,0.5035387086969736
mlp_best_v1,val,72,True,0.18340514551632328,0.5435958104893844,0.7960584831027816,1744,0.5349770642201835
mlp_best_v1_uncalibrated,val,72,False,0.18359651893044107,0.5443367525033439,0.7960584831027816,1744,0.5349770642201835
mlp_best_v1,test,72,True,0.19380590301674583,0.5661812432129237,0.7740236503521527,3513,0.5303159692570453
mlp_best_v1_uncalibrated,test,72,False,0.1947868031987351,0.5692877260201478,0.7740236503521527,3513,0.5303159692570453
