model_name,split,horizon,bucket_order,count_bucket,bucket_lower,bucket_upper,n_obs,mean_true,mean_pred,median_true,median_pred,mae,rmse,mean_error,median_error,mean_pred_over_mean_true
mlp_cp_t64_calibrated_loglinear_probaware,train,24,0,0,0.0,0.0,12832,0.0,2.13891792480348,0.0,0.6784112448065966,2.13891792480348,5.541918994326134,2.13891792480348,0.6784112448065966,
mlp_cp_t64_calibrated_loglinear_probaware,train,24,1,1,1.0,1.0,2812,1.0,3.052116597640342,1.0,1.155364473085581,2.4202463385997857,7.207363529519656,2.0521165976403415,0.15536447308558088,3.052116597640342
mlp_cp_t64_calibrated_loglinear_probaware,train,24,2,2-5,2.0,5.0,3047,3.0380702330160814,4.698500020987744,3.0,1.847261047407375,3.8406738559694125,8.463663540565982,1.6604297879716625,-0.8042272410645515,1.5465409488980941
mlp_cp_t64_calibrated_loglinear_probaware,train,24,3,6-10,6.0,10.0,1180,7.684745762711865,8.372617801458214,8.0,3.863173512638775,7.2300735373186304,11.218536015503936,0.68787203874635,-3.63627187031421,1.0895113592545977
mlp_cp_t64_calibrated_loglinear_probaware,train,24,4,11-20,11.0,20.0,1100,14.734545454545454,15.088753643762095,14.0,7.58810255365775,12.95621453202503,20.49781037343157,0.3542081892166392,-6.636654484465588,1.0240393020815834
mlp_cp_t64_calibrated_loglinear_probaware,train,24,5,21-50,21.0,50.0,1330,33.05187969924812,27.329657004742838,32.0,19.018126565628467,21.66461313573998,35.51344909724348,-5.722222694505286,-12.652888761090084,0.8268714897133232
mlp_cp_t64_calibrated_loglinear_probaware,train,24,6,51-100,51.0,100.0,549,66.81967213114754,45.19483085675966,64.0,34.13167709229852,38.773206271536516,46.20843617503175,-21.624841274387883,-32.90890764783679,0.6763701379446367
mlp_cp_t64_calibrated_loglinear_probaware,train,24,7,101-300,101.0,300.0,162,160.21604938271605,46.119343609617545,146.5,37.51125812987405,115.56672561450011,130.05647479101708,-114.09670577309853,-110.59074847814847,0.2878572014932784
mlp_cp_t64_calibrated_loglinear_probaware,train,24,8,300+,301.0,inf,19,510.42105263157896,82.96859344105015,346.0,37.77271173335071,446.5371897818404,543.0856074949975,-427.45245919052877,-320.6931612985711,0.16254931690863608
mlp_cp_t64_calibrated_loglinear_probaware,val,24,0,0,0.0,0.0,910,0.0,1.6579364550615092,0.0,0.7519741423907895,1.6579364550615092,4.147465308358618,1.6579364550615092,0.7519741423907895,
mlp_cp_t64_calibrated_loglinear_probaware,val,24,1,1,1.0,1.0,215,1.0,2.303320312090603,1.0,1.2653262213729055,1.6516940252534653,3.6258329227108863,1.3033203120906032,0.2653262213729055,2.303320312090603
mlp_cp_t64_calibrated_loglinear_probaware,val,24,2,2-5,2.0,5.0,197,2.9390862944162435,3.4802454337663913,3.0,2.0526756908029817,2.4582306557579443,4.8861057594269885,0.5411591393501479,-0.7529602767875065,1.1841249576027273
mlp_cp_t64_calibrated_loglinear_probaware,val,24,3,6-10,6.0,10.0,118,7.584745762711864,4.498874576929516,7.0,2.581000316683079,5.347663562913446,7.101270109102357,-3.085871185782349,-4.563105874624354,0.5931477095840033
mlp_cp_t64_calibrated_loglinear_probaware,val,24,4,11-20,11.0,20.0,84,14.94047619047619,5.695219406908663,15.0,3.612685609384818,10.73464802175617,11.848922635659893,-9.245256783567527,-9.960124237450088,0.38119396827117746
mlp_cp_t64_calibrated_loglinear_probaware,val,24,5,21-50,21.0,50.0,103,33.786407766990294,11.553018310917679,33.0,3.991699280057624,27.01490606866557,29.06137612015432,-22.23338945607261,-25.949612294809214,0.34194278334037953
mlp_cp_t64_calibrated_loglinear_probaware,val,24,6,51-100,51.0,100.0,48,72.4375,8.267310045710204,71.0,5.881880761615365,64.1701899542898,66.60049331053078,-64.1701899542898,-61.329435657341506,0.11413025084673276
mlp_cp_t64_calibrated_loglinear_probaware,val,24,7,101-300,101.0,300.0,69,196.69565217391303,9.206946615876415,209.0,5.500561066185779,187.48870555803663,195.3620640488108,-187.48870555803663,-200.88609345780426,0.04680808403297028
mlp_cp_t64_calibrated_loglinear_probaware,test,24,0,0,0.0,0.0,1867,0.0,1.5184581078720427,0.0,0.7762320699644605,1.5184581078720427,2.785177714413868,1.5184581078720427,0.7762320699644605,
mlp_cp_t64_calibrated_loglinear_probaware,test,24,1,1,1.0,1.0,463,1.0,2.8837629149297297,1.0,1.2298364064836822,2.257505141510944,8.929996422588834,1.8837629149297297,0.2298364064836822,2.8837629149297297
mlp_cp_t64_calibrated_loglinear_probaware,test,24,2,2-5,2.0,5.0,454,3.0220264317180616,3.373922075132945,3.0,1.5660940636838017,2.8045689693717417,5.590112231526913,0.3518956434148832,-0.9583523804082404,1.1164436021212516
mlp_cp_t64_calibrated_loglinear_probaware,test,24,3,6-10,6.0,10.0,164,7.7682926829268295,5.158853870536061,8.0,2.230284018057622,6.035864680779991,8.301651672398625,-2.609438812390769,-4.912726400576446,0.6640910790956939
mlp_cp_t64_calibrated_loglinear_probaware,test,24,4,11-20,11.0,20.0,155,14.845161290322581,6.285245628907949,14.0,2.780435506151178,11.064989087688408,12.510801277220068,-8.559915661414632,-10.986151643044355,0.4233868198525563
mlp_cp_t64_calibrated_loglinear_probaware,test,24,5,21-50,21.0,50.0,179,33.608938547486034,7.495352082909606,32.0,3.5436368180444466,27.91496429705499,29.93197559355981,-26.11358646457642,-27.583290565253805,0.2230166261371043
mlp_cp_t64_calibrated_loglinear_probaware,test,24,6,51-100,51.0,100.0,161,73.0,10.807367582878689,74.0,5.040538063909242,63.69122536711427,66.32811394699736,-62.19263241712131,-64.41492282596343,0.1480461312723108
mlp_cp_t64_calibrated_loglinear_probaware,test,24,7,101-300,101.0,300.0,64,131.5,23.902579575066007,123.0,9.16712140740291,124.29624672698216,138.2579900973438,-107.59742042493399,-110.51431088359405,0.1817686659700837
mlp_cp_t64_calibrated_loglinear_probaware,test,24,8,300+,301.0,inf,6,370.6666666666667,33.23720646356749,379.0,34.76594298683878,337.42946020309915,337.7654302495313,-337.42946020309915,-338.7812683506297,0.08966872247365329
mlp_cp_t64_calibrated_loglinear_probaware,train,72,0,0,0.0,0.0,11434,0.0,2.811759413965524,0.0,0.9166592424540714,2.811759413965524,7.340939961211182,2.811759413965524,0.9166592424540714,
mlp_cp_t64_calibrated_loglinear_probaware,train,72,1,1,1.0,1.0,3067,1.0,3.600772429693078,1.0,1.3751462712267999,2.9228304505128673,9.22140693491692,2.600772429693078,0.3751462712267999,3.600772429693078
mlp_cp_t64_calibrated_loglinear_probaware,train,72,2,2-5,2.0,5.0,3183,3.021049324536601,5.349740488763808,3.0,2.151630854708226,4.209428268896113,10.41668895498052,2.328691164227207,-0.530515956701278,1.770821960870965
mlp_cp_t64_calibrated_loglinear_probaware,train,72,3,6-10,6.0,10.0,1267,7.638516179952644,9.124092745425116,7.0,3.811617330256779,7.878231666713572,13.916865128800469,1.4855765654724724,-3.3868760737915418,1.1944849667755344
mlp_cp_t64_calibrated_loglinear_probaware,train,72,4,11-20,11.0,20.0,1204,14.788205980066445,13.56020584365695,14.0,6.4025063189477285,12.533353507833382,18.703390616447905,-1.2280001364094957,-7.58050991047239,0.9169608444685744
mlp_cp_t64_calibrated_loglinear_probaware,train,72,5,21-50,21.0,50.0,1489,32.97783747481531,24.44781477646918,32.0,14.127226423738184,23.552104826798832,36.750995388124764,-8.530022698346134,-16.913485504223313,0.7413407502884207
mlp_cp_t64_calibrated_loglinear_probaware,train,72,6,51-100,51.0,100.0,894,70.52796420581656,50.16992535363556,68.0,36.24572162703867,43.11243576575054,59.40900846691576,-20.358038852180993,-34.19296608797177,0.7113479868386441
mlp_cp_t64_calibrated_loglinear_probaware,train,72,7,101-300,101.0,300.0,425,145.4564705882353,68.16081653238817,130.0,51.35702540355373,90.59652828946514,107.470187275418,-77.29565405584711,-80.7444016117696,0.4685994116091326
mlp_cp_t64_calibrated_loglinear_probaware,train,72,8,300+,301.0,inf,68,528.6911764705883,77.26474164822146,434.5,42.60695326294265,453.1126339982286,539.9210018309609,-451.42643482236684,-368.23136301880623,0.1461434294478334
mlp_cp_t64_calibrated_loglinear_probaware,val,72,0,0,0.0,0.0,811,0.0,2.3006426806785747,0.0,1.043547651906656,2.3006426806785747,5.937974482686018,2.3006426806785747,1.043547651906656,
mlp_cp_t64_calibrated_loglinear_probaware,val,72,1,1,1.0,1.0,246,1.0,2.828300673704778,1.0,1.499386937335586,2.1442115802752273,4.7865855963018324,1.8283006737047776,0.49938693733558603,2.828300673704778
mlp_cp_t64_calibrated_loglinear_probaware,val,72,2,2-5,2.0,5.0,215,3.055813953488372,4.335814010874282,3.0,2.5128953603621875,2.9756154741982854,6.392852236300961,1.2800000573859103,-0.42903795392867616,1.4188736869679919
mlp_cp_t64_calibrated_loglinear_probaware,val,72,3,6-10,6.0,10.0,110,7.918181818181818,5.50030482913382,8.0,3.3952877216445643,5.437396250879614,8.041103410318495,-2.4178769890479974,-3.999093352562493,0.6946424009239038
mlp_cp_t64_calibrated_loglinear_probaware,val,72,4,11-20,11.0,20.0,88,14.875,6.996088278400342,14.0,3.7530404238577026,11.10023712047306,12.998536716213305,-7.878911721599656,-9.90506818098456,0.4703252624134684
mlp_cp_t64_calibrated_loglinear_probaware,val,72,5,21-50,21.0,50.0,91,33.637362637362635,11.016931532963712,32.0,5.342590673292231,25.96546821481901,29.145224045848828,-22.620431104398925,-24.028231381369764,0.3275206695523351
mlp_cp_t64_calibrated_loglinear_probaware,val,72,6,51-100,51.0,100.0,81,70.95061728395062,15.40599801228431,65.0,5.254550218591824,61.22748595933197,64.78072152751355,-55.544619271666306,-59.78991433116858,0.21713691299722102
mlp_cp_t64_calibrated_loglinear_probaware,val,72,7,101-300,101.0,300.0,66,174.12121212121212,12.488278148565751,151.0,8.547942061301548,161.6329339726464,174.244067824359,-161.6329339726464,-137.2494684575317,0.07172175059218061
mlp_cp_t64_calibrated_loglinear_probaware,val,72,8,300+,301.0,inf,36,345.27777777777777,10.347882300111737,342.0,6.711644100655654,334.92989547766604,335.9220500700693,-334.92989547766604,-333.4415092721581,0.029969731520838497
mlp_cp_t64_calibrated_loglinear_probaware,test,72,0,0,0.0,0.0,1650,0.0,2.031149615784081,0.0,1.0686609499368411,2.031149615784081,3.6604639166710995,2.031149615784081,1.0686609499368411,
mlp_cp_t64_calibrated_loglinear_probaware,test,72,1,1,1.0,1.0,496,1.0,3.2138578646822626,1.0,1.5473821152365033,2.53469384561938,6.784457227815819,2.2138578646822626,0.5473821152365034,3.2138578646822626
mlp_cp_t64_calibrated_loglinear_probaware,test,72,2,2-5,2.0,5.0,501,2.970059880239521,4.450996110697558,3.0,1.9597214310435336,3.5317416503392045,12.096808901145499,1.4809362304580362,-0.6407628394952161,1.4986216743679277
mlp_cp_t64_calibrated_loglinear_probaware,test,72,3,6-10,6.0,10.0,182,7.65934065934066,6.111398274126052,7.0,2.7070929940026858,6.421573066360553,10.097378064934205,-1.547942385214608,-4.339236654982978,0.7979013528629422
mlp_cp_t64_calibrated_loglinear_probaware,test,72,4,11-20,11.0,20.0,152,14.907894736842104,8.287182076581573,15.0,3.265186017894618,11.506267217785767,14.554569119975493,-6.620712660260534,-9.88405824682117,0.5558921781290376
mlp_cp_t64_calibrated_loglinear_probaware,test,72,5,21-50,21.0,50.0,208,34.21153846153846,9.38037708845555,34.0,4.095242197383847,27.4809464251325,30.15657444228668,-24.831161373082914,-26.630263666033045,0.27418752591325946
mlp_cp_t64_calibrated_loglinear_probaware,test,72,6,51-100,51.0,100.0,172,72.81976744186046,11.445793972644644,72.0,4.424329152131871,64.02004546063189,66.67627382587021,-61.37397346921583,-62.744328576277574,0.15717976553252525
mlp_cp_t64_calibrated_loglinear_probaware,test,72,7,101-300,101.0,300.0,142,143.80281690140845,23.020220192706354,133.0,8.056633946724514,132.4850132187481,149.81349383492838,-120.7825967087021,-118.53867000411604,0.16008184463096486
mlp_cp_t64_calibrated_loglinear_probaware,test,72,8,300+,301.0,inf,10,496.5,33.88593254671971,518.5,25.03748314758301,462.6140674532803,469.0619536070036,-462.6140674532803,-477.1585416011027,0.06824961238010012
