model_name,split,horizon,bucket_order,count_bucket,bucket_lower,bucket_upper,n_obs,mean_true,mean_pred,median_true,median_pred,mae,rmse,mean_error,median_error,mean_pred_over_mean_true
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear,train,24,0,0,0.0,0.0,12832,0.0,1.6217579116640255,0.0,0.8371332241835088,1.6217579116640255,3.896699060244351,1.6217579116640255,0.8371332241835088,
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear,train,24,1,1,1.0,1.0,2812,1.0,2.982406119631138,1.0,1.3503703934547233,2.1811513268110887,6.777610927252369,1.9824061196311378,0.35037039345472343,2.982406119631138
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear,train,24,2,2-5,2.0,5.0,3047,3.0380702330160814,4.913798487831855,3.0,2.288389384638601,3.6757294660230406,8.647748380134482,1.8757282548157739,-0.47410307448014644,1.6174077986846345
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear,train,24,3,6-10,6.0,10.0,1180,7.684745762711865,8.64314352900184,8.0,4.4800769927052695,6.950173668599652,11.733736701845666,0.9583977662899751,-2.9311877305097007,1.1247143101259562
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear,train,24,4,11-20,11.0,20.0,1100,14.734545454545454,14.983322873204372,14.0,7.190570856750567,13.345372382873263,23.398834392919674,0.2487774186589199,-7.118373374143285,1.0168839561034557
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear,train,24,5,21-50,21.0,50.0,1330,33.05187969924812,26.539118135669472,32.0,14.635662316884659,25.271416983301815,37.85000436786412,-6.512761563578645,-16.137544163710473,0.8029533683759958
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear,train,24,6,51-100,51.0,100.0,549,66.81967213114754,47.234644247872474,64.0,27.620418729354196,46.97978936063844,56.54633743545842,-19.585027883275064,-37.77541107593011,0.70689727652606
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear,train,24,7,101-300,101.0,300.0,162,160.21604938271605,45.30915024446273,146.5,27.129319731698416,121.24131811458888,136.75059787374906,-114.90689913825332,-113.60289902566217,0.28280032131007365
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear,train,24,8,300+,301.0,inf,19,510.42105263157896,97.12799673183878,346.0,43.47335687832126,413.2930558997401,519.2818195191813,-413.2930558997401,-315.08499498187814,0.19028995028922838
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear,val,24,0,0,0.0,0.0,910,0.0,1.4893959886872137,0.0,0.9081643217908022,1.4893959886872137,4.2132086159510225,1.4893959886872137,0.9081643217908022,
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear,val,24,1,1,1.0,1.0,215,1.0,2.366978201378552,1.0,1.2640328257615676,1.5691435341147622,3.121648538654091,1.3669782013785525,0.2640328257615676,2.366978201378552
