model_name,split,horizon,bucket_order,count_bucket,bucket_lower,bucket_upper,n_obs,mean_true,mean_pred,median_true,median_pred,mae,rmse,mean_error,median_error,mean_pred_over_mean_true
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear_probaware,train,24,0,0,0.0,0.0,12832,0.0,1.6061681613122927,0.0,0.8342415000067807,1.6061681613122927,3.7561253729625035,1.6061681613122927,0.8342415000067807,
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear_probaware,train,24,1,1,1.0,1.0,2812,1.0,2.9614867004666054,1.0,1.3814863337530752,2.169527881856052,6.367621688850867,1.9614867004666054,0.38148633375307517,2.9614867004666054
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear_probaware,train,24,2,2-5,2.0,5.0,3047,3.0380702330160814,4.862847555373523,3.0,2.3466037308083503,3.59440551896956,8.129490841919369,1.824777322357442,-0.4237000642191038,1.6006369775546208
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear_probaware,train,24,3,6-10,6.0,10.0,1180,7.684745762711865,8.466325564089546,8.0,4.523901543917759,6.71214589689525,10.995245278431124,0.7815798013776821,-2.852287706398033,1.1017053557152254
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear_probaware,train,24,4,11-20,11.0,20.0,1100,14.734545454545454,14.326712461587102,14.0,7.191993624620991,12.66591317251118,20.986566891921804,-0.40783299295835396,-7.07506044642189,0.9723213047720762
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear_probaware,train,24,5,21-50,21.0,50.0,1330,33.05187969924812,24.858489252271227,32.0,14.430127054365943,23.986468439872507,33.80608397645242,-8.193390446976894,-16.42159385840997,0.7521051594786218
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear_probaware,train,24,6,51-100,51.0,100.0,549,66.81967213114754,43.335288051742936,64.0,26.74850398517874,44.70429698233096,52.27079594253978,-23.48438407940461,-38.57293285903954,0.6485408663288319
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear_probaware,train,24,7,101-300,101.0,300.0,162,160.21604938271605,41.606097554956555,146.5,26.220846096878162,122.50889847257437,137.67636329051004,-118.6099518277595,-114.91047999897901,0.259687451508494
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear_probaware,train,24,8,300+,301.0,inf,19,510.42105263157896,85.99367637873414,346.0,41.26871560807924,424.42737625284485,526.4820328497474,-424.42737625284485,-315.84153509545314,0.16847595908392954
mlp_multitask_v1_enriched_h256_128_64_do03_calibrated_loglinear_probaware,val,24,0,0,0.0,0.0,910,0.0,1.478015335923406,0.0,0.9069462162996345,1.478015335923406,3.961614749380574,1.478015335923406,0.9069462162996345,
