feature,importance,target
gcmt_depth_km,0.05113607,y_24h
trigger_magnitude_sq,0.04546116,y_24h
trigger_depth_km,0.043357495,y_24h
gcmt_moment_exponent,0.041971177,y_24h
prior_global_event_count_24h_log1p,0.039403837,y_24h
trigger_depth_log1p,0.03883611,y_24h
prior_global_event_count_24h,0.037085205,y_24h
trigger_magnitude,0.032879762,y_24h
gcmt_half_duration_sec,0.03259824,y_24h
gcmt_depth_error_km,0.029762998,y_24h
gcmt_magnitude,0.029749472,y_24h
gcmt_eig2_plunge,0.029171173,y_24h
prior_activity_ratio_24h_7d,0.01941607,y_24h
dmin,0.019132134,y_24h
dip,0.017828962,y_24h
lat_lon_interaction,0.016182374,y_24h
dip2,0.015834238,y_24h
trigger_month_sin,0.014957647,y_24h
trigger_latitude,0.014689081,y_24h
gcmt_latitude,0.0146193355,y_24h
gcmt_eig1_plunge,0.014277354,y_24h
trigger_longitude,0.0142373275,y_24h
trigger_year_feature,0.013794772,y_24h
abs_trigger_latitude,0.013059874,y_24h
abs_trigger_longitude,0.012461085,y_24h
trigger_month,0.011650444,y_24h
trigger_dayofyear,0.011532961,y_24h
gcmt_longitude,0.010759078,y_24h
trigger_dayofyear_sin,0.010452518,y_24h
trigger_month_cos,0.010121961,y_24h
nst,0.009022792,y_24h
gcmt_mrr,0.0088902265,y_24h
gcmt_mrr_error,0.008816048,y_24h
trigger_dayofyear_cos,0.008759513,y_24h
prior_global_event_count_7d,0.008402633,y_24h
gcmt_centroid_time_shift_error_sec,0.008288446,y_24h
prior_global_event_count_7d_log1p,0.0082459105,y_24h
gcmt_latitude_error,0.008129996,y_24h
gcmt_distance_km_log1p,0.008068239,y_24h
gcmt_mrt,0.0077657406,y_24h
rake,0.007735291,y_24h
gcmt_mpp,0.0074854135,y_24h
gcmt_mtp_error,0.0074651926,y_24h
gcmt_mrp_error,0.007308598,y_24h
gcmt_eig3_azimuth,0.007293109,y_24h
gcmt_mrt_error,0.0071885097,y_24h
gcmt_eig3_plunge,0.007124466,y_24h
gcmt_centroid_time_shift_sec,0.0071187387,y_24h
gcmt_time_diff_sec_log1p,0.0071145105,y_24h
gcmt_mtp,0.007099272,y_24h
gcmt_mtt,0.007058847,y_24h
gcmt_eig2,0.00703575,y_24h
gcmt_eig1_azimuth,0.0069954353,y_24h
gcmt_scalar_moment,0.0069026393,y_24h
strike,0.006573114,y_24h
